sentimento;palabra
positivo;descriptivo
enfado;profanación
desagrado;profanación
miedo;profanación
negativo;profanación
tristeza;profanación
enfado;Desierto
desagrado;Desierto
miedo;Desierto
negativo;Desierto
tristeza;Desierto
enfado;abandonado
desagrado;abandonado
miedo;abandonado
negativo;abandonado
tristeza;abandonado
negativo;deserción
enfado;merecer
anticipacion;merecer
positivo;merecer
confianza;merecer
positivo;merecido
confianza;designacion
positivo;diseñador
positivo;deseable
positivo;deseando
positivo;deseoso
enfado;abstenerse
desagrado;abstenerse
negativo;abstenerse
miedo;soledad
negativo;soledad
tristeza;soledad
enfado;desesperación
desagrado;desesperación
miedo;desesperación
negativo;desesperación
tristeza;desesperación
miedo;desesperado
negativo;desesperado
tristeza;desesperado
negativo;desesperado
enfado;despreciable
desagrado;despreciable
negativo;despreciable
enfado;despreciar
desagrado;despreciar
negativo;despreciar
miedo;despótico
negativo;despótico
enfado;despotismo
desagrado;despotismo
miedo;despotismo
negativo;despotismo
tristeza;despotismo
anticipacion;destino
miedo;destino
alegria;destino
positivo;destino
tristeza;destino
sorpresa;destino
anticipacion;destinado
miedo;indigente
negativo;indigente
tristeza;indigente
enfado;destruido
miedo;destruido
negativo;destruido
tristeza;destruido
enfado;destructor
miedo;destructor
negativo;destructor
enfado;destruyendo
miedo;destruyendo
negativo;destruyendo
tristeza;destruyendo
enfado;destrucción
negativo;destrucción
enfado;destructivo
desagrado;destructivo
miedo;destructivo
negativo;destructivo
negativo;desapego
negativo;detener
enfado;detenido
anticipacion;detenido
miedo;detenido
negativo;detenido
tristeza;detenido
positivo;detectar
positivo;detección
negativo;detención
tristeza;detención
miedo;deteriorarse
negativo;deteriorarse
tristeza;deteriorarse
desagrado;deteriorado
negativo;deteriorado
tristeza;deteriorado
enfado;deterioro
desagrado;deterioro
miedo;deterioro
negativo;deterioro
tristeza;deterioro
anticipacion;determinado
confianza;determinado
positivo;determinación
confianza;determinación
positivo;determinado
enfado;detestar
desagrado;detestar
negativo;detestar
miedo;detonar
negativo;detonar
sorpresa;detonar
enfado;detonación
enfado;detraer
negativo;detraer
negativo;detrimento
negativo;perjudicial
negativo;detrito
enfado;devastar
miedo;devastar
negativo;devastar
tristeza;devastar
enfado;devastador
desagrado;devastador
miedo;devastador
negativo;devastador
tristeza;devastador
confianza;devastador
enfado;devastación
miedo;devastación
negativo;devastación
tristeza;devastación
sorpresa;devastación
anticipacion;desarrollar
positivo;desarrollar
tristeza;desviación
enfado;diablo
anticipacion;diablo
desagrado;diablo
miedo;diablo
negativo;diablo
tristeza;diablo
desagrado;diabólico
miedo;diabólico
negativo;diabólico
negativo;tortuoso
negativo;devolución
positivo;piadoso
confianza;piadoso
negativo;devorar
anticipacion;devoto
alegria;devoto
positivo;devoto
confianza;devoto
positivo;destreza
enfado;diabólico
desagrado;diabólico
miedo;diabólico
negativo;diabólico
anticipacion;diagnóstico
miedo;diagnóstico
negativo;diagnóstico
confianza;diagnóstico
alegria;diamante
positivo;diamante
desagrado;pañal
desagrado;Diarrea
alegria;diario
positivo;diario
confianza;diario
enfado;diatriba
desagrado;diatriba
negativo;diatriba
miedo;dictador
negativo;dictador
enfado;dictatorial
negativo;dictatorial
enfado;dictadura
anticipacion;dictadura
desagrado;dictadura
miedo;dictadura
negativo;dictadura
tristeza;dictadura
positivo;diccionario
confianza;diccionario
confianza;dictamen
positivo;didáctico
miedo;morir
negativo;morir
tristeza;morir
anticipacion;dietético
positivo;dietético
confianza;diferencial
sorpresa;diferentemente
miedo;difícil
negativo;dificultades
tristeza;dificultades
enfado;dificultad
miedo;dificultad
negativo;dificultad
tristeza;dificultad
confianza;dígito
positivo;digno
positivo;dignidad
confianza;dignidad
anticipacion;divagar
negativo;divagar
miedo;dique
desagrado;arruinado
negativo;arruinado
tristeza;arruinado
positivo;diligencia
confianza;diligencia
negativo;diluir
negativo;disminuir
tristeza;disminuir
negativo;disminuido
negativo;estruendo
positivo;cena
miedo;dinosaurio
anticipacion;diplomacia
positivo;diplomacia
confianza;diplomacia
positivo;diplomático
confianza;diplomático
desagrado;terrible
miedo;terrible
negativo;terrible
tristeza;terrible
sorpresa;terrible
positivo;director
confianza;director
desagrado;suciedad
negativo;suciedad
desagrado;sucio
negativo;sucio
negativo;discapacidad
tristeza;discapacidad
miedo;inhabilitar
negativo;inhabilitar
tristeza;inhabilitar
miedo;discapacitado
negativo;discapacitado
tristeza;discapacitado
negativo;desafecto
enfado;discrepar
negativo;discrepar
enfado;en desacuerdo
negativo;en desacuerdo
tristeza;en desacuerdo
enfado;desacuerdo
negativo;desacuerdo
tristeza;desacuerdo
enfado;no permitido
desagrado;no permitido
miedo;no permitido
negativo;no permitido
tristeza;no permitido
miedo;desaparecer
enfado;decepcionar
desagrado;decepcionar
negativo;decepcionar
tristeza;decepcionar
enfado;decepcionado
desagrado;decepcionado
negativo;decepcionado
tristeza;decepcionado
negativo;decepcionante
tristeza;decepcionante
desagrado;decepción
negativo;decepción
tristeza;decepción
negativo;desaprobación
tristeza;desaprobación
enfado;desaprobar
desagrado;desaprobar
miedo;desaprobar
negativo;desaprobar
tristeza;desaprobar
enfado;desaprobado
negativo;desaprobado
tristeza;desaprobado
enfado;desaprobando
desagrado;desaprobando
negativo;desaprobando
tristeza;desaprobando
enfado;desastre
desagrado;desastre
miedo;desastre
negativo;desastre
tristeza;desastre
sorpresa;desastre
enfado;desastroso
miedo;desastroso
negativo;desastroso
tristeza;desastroso
negativo;no creer
negativo;descartes
negativo;descarga
confianza;discípulo
miedo;disciplina
negativo;disciplina
enfado;negar
desagrado;negar
negativo;negar
confianza;negar
confianza;revelado
desagrado;descoloramiento
negativo;descoloramiento
desagrado;descolorado
negativo;descolorado
tristeza;descolorado
negativo;malestar
tristeza;malestar
negativo;desconectar
tristeza;desconectar
negativo;desconectado
tristeza;desconectado
negativo;desconexión
enfado;descontento
desagrado;descontento
miedo;descontento
negativo;descontento
tristeza;descontento
negativo;discontinuar
desagrado;discontinuidad
miedo;discontinuidad
negativo;discontinuidad
tristeza;discontinuidad
enfado;discordia
desagrado;discordia
negativo;discordia
miedo;desalentar
negativo;desalentar
tristeza;desalentar
negativo;desánimo
positivo;descubrimiento
negativo;descrédito
anticipacion;discreto
positivo;discreto
anticipacion;discreción
positivo;discreción
confianza;discreción
positivo;discrecional
enfado;discriminar
negativo;discriminar
tristeza;discriminar
desagrado;discriminante
negativo;discriminante
enfado;discriminación
desagrado;discriminación
miedo;discriminación
negativo;discriminación
tristeza;discriminación
positivo;discusión
enfado;desdén
desagrado;desdén
negativo;desdén
enfado;enfermedad
desagrado;enfermedad
miedo;enfermedad
negativo;enfermedad
tristeza;enfermedad
desagrado;enfermo
miedo;enfermo
negativo;enfermo
tristeza;enfermo
miedo;incorpóreo
negativo;incorpóreo
tristeza;incorpóreo
negativo;retirada
enfado;desfigurado
desagrado;desfigurado
miedo;desfigurado
negativo;desfigurado
tristeza;desfigurado
enfado;desgracia
desagrado;desgracia
negativo;desgracia
tristeza;desgracia
enfado;deshonrado
desagrado;deshonrado
negativo;deshonrado
tristeza;deshonrado
enfado;vergonzoso
desagrado;vergonzoso
negativo;vergonzoso
enfado;descontento
desagrado;descontento
negativo;descontento
tristeza;descontento
enfado;asco
desagrado;asco
miedo;asco
negativo;asco
tristeza;asco
enfado;asqueroso
desagrado;asqueroso
miedo;asqueroso
negativo;asqueroso
negativo;desanimado
tristeza;desanimado
negativo;desalentador
tristeza;desalentador
enfado;deshonesto
desagrado;deshonesto
negativo;deshonesto
tristeza;deshonesto
desagrado;deshonestidad
negativo;deshonestidad
enfado;deshonra
desagrado;deshonra
miedo;deshonra
negativo;deshonra
tristeza;deshonra
enfado;desilusión
desagrado;desilusión
negativo;desilusión
tristeza;desilusión
positivo;desinfección
enfado;desinformación
miedo;desinformación
negativo;desinformación
desagrado;falso
negativo;falso
desagrado;desintegrarse
miedo;desintegrarse
negativo;desintegrarse
negativo;desintegración
negativo;desinteresado
enfado;desagradoo
desagrado;desagradoo
negativo;desagradoo
enfado;no me gustó
negativo;no me gustó
tristeza;no me gustó
enfado;dislocado
desagrado;dislocado
miedo;dislocado
negativo;dislocado
tristeza;dislocado
desagrado;triste
miedo;triste
negativo;triste
tristeza;triste
enfado;consternación
anticipacion;consternación
miedo;consternación
negativo;consternación
tristeza;consternación
sorpresa;consternación
desagrado;desmembramiento
miedo;desmembramiento
negativo;desmembramiento
tristeza;desmembramiento
enfado;despido
desagrado;despido
miedo;despido
negativo;despido
tristeza;despido
sorpresa;despido
enfado;desobediencia
desagrado;desobediencia
negativo;desobediencia
enfado;desobediente
negativo;desobediente
enfado;desobedecer
desagrado;desobedecer
negativo;desobedecer
miedo;trastorno
negativo;trastorno
negativo;desordenado
negativo;desestructurado
enfado;menospreciar
desagrado;menospreciar
negativo;menospreciar
tristeza;menospreciar
enfado;despectivo
desagrado;despectivo
negativo;despectivo
tristeza;despectivo
enfado;disparidad
desagrado;disparidad
negativo;disparidad
tristeza;disparidad
negativo;desapasionado
tristeza;desapasionado
negativo;disipar
tristeza;disipar
negativo;dispersión
negativo;desplazar
enfado;desplazado
miedo;desplazado
tristeza;desplazado
enfado;desagradoado
desagrado;desagradoado
miedo;desagradoado
negativo;desagradoado
tristeza;desagradoado
desagrado;desagradoo
negativo;desagradoo
negativo;disposición
desagrado;disponer
anticipacion;dispuesto
positivo;dispuesto
confianza;dispuesto
enfado;desposeído
miedo;desposeído
negativo;desposeído
tristeza;desposeído
enfado;disputa
negativo;disputa
negativo;descalificación
enfado;descalificado
desagrado;descalificado
negativo;descalificado
tristeza;descalificado
negativo;descalificar
tristeza;descalificar
negativo;indiferencia
desagrado;ignorado
negativo;ignorado
enfado;de mala fama
desagrado;de mala fama
miedo;de mala fama
negativo;de mala fama
enfado;falta de respeto
negativo;falta de respeto
enfado;irrespetuoso
desagrado;irrespetuoso
miedo;irrespetuoso
negativo;irrespetuoso
tristeza;irrespetuoso
enfado;ruptura
miedo;ruptura
negativo;ruptura
sorpresa;ruptura
negativo;insatisfacción
desagrado;disección
positivo;diseminar
enfado;disensión
negativo;disensión
negativo;disidente
enfado;deservicio
desagrado;deservicio
negativo;deservicio
tristeza;deservicio
enfado;disidente
miedo;disidente
negativo;disidente
enfado;disolución
miedo;disolución
negativo;disolución
tristeza;disolución
sorpresa;disolución
enfado;disonancia
negativo;disonancia
desagrado;desagradoo
negativo;desagradoo
desagrado;desagradable
negativo;desagradable
positivo;destilación
positivo;distinción
desagrado;distorsionado
negativo;distorsionado
negativo;distorsión
negativo;distraer
enfado;distraído
negativo;distraído
enfado;distraer
anticipacion;distraer
negativo;distraer
negativo;distracción
negativo;loco
tristeza;loco
enfado;angustia
desagrado;angustia
miedo;angustia
negativo;angustia
tristeza;angustia
sorpresa;angustia
miedo;afligido
negativo;afligido
enfado;angustioso
miedo;angustioso
negativo;angustioso
enfado;desconfianza
desagrado;desconfianza
miedo;desconfianza
negativo;desconfianza
enfado;disturbio
miedo;disturbio
negativo;disturbio
tristeza;disturbio
sorpresa;disturbio
enfado;perturbado
negativo;perturbado
tristeza;perturbado
negativo;desuso
enfado;en desuso
negativo;en desuso
alegria;cancioneta
positivo;cancioneta
confianza;diván
negativo;divergente
sorpresa;divergente
negativo;diverso
positivo;diverso
positivo;diversificado
positivo;desviación
sorpresa;desviación
negativo;despojado
negativo;despojo
anticipacion;Adivinación
positivo;divinidad
enfado;divorcio
desagrado;divorcio
miedo;divorcio
negativo;divorcio
tristeza;divorcio
sorpresa;divorcio
confianza;divorcio
negativo;mareo
negativo;mareado
negativo;atracado
positivo;médico
confianza;médico
confianza;doctrina
positivo;hacedor
positivo;obstinado
confianza;dogma
negativo;hazlo
negativo;zona de las calmas ecuatoriales
tristeza;zona de las calmas ecuatoriales
negativo;limosna
tristeza;limosna
alegria;muñeca
negativo;dolor
tristeza;dolor
alegria;delfín
positivo;delfín
sorpresa;delfín
confianza;delfín
miedo;dominante
negativo;dominante
enfado;dominar
miedo;dominar
negativo;dominar
positivo;dominar
enfado;dominación
miedo;dominación
negativo;dominación
tristeza;dominación
miedo;dominio
confianza;dominio
positivo;don
confianza;don
positivo;donación
desagrado;Burro
negativo;Burro
negativo;garabatear
miedo;condenar
negativo;condenar
miedo;condenado
negativo;condenado
tristeza;condenado
enfado;Día del Juicio Final
anticipacion;Día del Juicio Final
desagrado;Día del Juicio Final
miedo;Día del Juicio Final
negativo;Día del Juicio Final
tristeza;Día del Juicio Final
miedo;duda
negativo;duda
tristeza;duda
confianza;duda
negativo;dudoso
negativo;inseguro
positivo;indudable
confianza;indudable
negativo;ducha
negativo;austero
anticipacion;paloma
alegria;paloma
positivo;paloma
confianza;paloma
miedo;caída
negativo;caída
tristeza;caída
confianza;completamente
positivo;velloso
negativo;monótono
tristeza;monótono
anticipacion;sequía
miedo;continuar
negativo;drenaje
negativo;retirarse
anticipacion;pavor
miedo;pavor
negativo;pavor
enfado;terrible
anticipacion;terrible
desagrado;terrible
miedo;terrible
negativo;terrible
tristeza;terrible
desagrado;horrorosamente
miedo;horrorosamente
negativo;horrorosamente
tristeza;horrorosamente
sorpresa;horrorosamente
negativo;triste
tristeza;triste
negativo;Bebiendo
desagrado;mentiras
negativo;mentiras
negativo;zumbido
desagrado;babear
negativo;caído
negativo;sequía
miedo;ahogar
negativo;ahogar
tristeza;ahogar
negativo;somnolencia
negativo;trabajo penoso
tristeza;drogado
desagrado;borracho
negativo;borracho
negativo;embriaguez
miedo;dudoso
negativo;dudoso
confianza;dudoso
enfado;duelo
anticipacion;duelo
miedo;duelo
positivo;dueto
positivo;duque
negativo;aburrido
tristeza;aburrido
negativo;tonto
negativo;tonto
enfado;deshecho
negativo;deshecho
tristeza;deshecho
negativo;pardo
desagrado;estiércol
miedo;calabozo
negativo;calabozo
enfado;engañar
negativo;engañar
enfado;duplicidad
negativo;duplicidad
positivo;durabilidad
confianza;durabilidad
positivo;durable
confianza;durable
enfado;coacción
desagrado;coacción
miedo;coacción
negativo;coacción
tristeza;coacción
negativo;polvo
anticipacion;obediente
positivo;obediente
confianza;obediente
miedo;empequeñecido
negativo;empequeñecido
tristeza;empequeñecido
enfado;muriendo
desagrado;muriendo
miedo;muriendo
negativo;muriendo
tristeza;muriendo
sorpresa;dinámica
desagrado;disentería
negativo;disentería
tristeza;disentería
anticipacion;ansioso
alegria;ansioso
positivo;ansioso
sorpresa;ansioso
confianza;ansioso
anticipacion;afán
alegria;afán
positivo;afán
confianza;afán
confianza;águila
positivo;conde
positivo;ganar
positivo;serio
positivo;formalmente
positivo;seriedad
enfado;terremoto
miedo;terremoto
negativo;terremoto
tristeza;terremoto
sorpresa;terremoto
positivo;facilitar
positivo;comodidad
positivo;de trato fácil
positivo;comer
negativo;espionaje
confianza;economía
anticipacion;éxtasis
alegria;éxtasis
positivo;éxtasis
anticipacion;extático
alegria;extático
positivo;extático
sorpresa;extático
miedo;edicto
negativo;edicto
anticipacion;edificación
alegria;edificación
positivo;edificación
confianza;edificación
anticipacion;edición
positivo;educar
positivo;educado
positivo;educativo
confianza;educativo
miedo;Anguila
positivo;eficaz
confianza;eficaz
negativo;afeminado
positivo;eficacia
positivo;eficiencia
anticipacion;eficiente
positivo;eficiente
confianza;eficiente
enfado;efigie
positivo;esfuerzo
desagrado;ególatra
negativo;ególatra
enfado;enorme
desagrado;enorme
negativo;enorme
anticipacion;eyaculación
alegria;eyaculación
positivo;eyaculación
sorpresa;eyaculación
confianza;eyaculación
negativo;expulsar
negativo;expulsión
positivo;elaboración
alegria;exaltado
positivo;exaltado
enfado;codo
positivo;mayor
confianza;mayor
positivo;ancianos
confianza;ancianos
positivo;electo
confianza;electo
confianza;electorado
alegria;eléctrico
positivo;eléctrico
sorpresa;eléctrico
positivo;electricidad
anticipacion;elegancia
alegria;elegancia
positivo;elegancia
confianza;elegancia
alegria;elegante
positivo;elegante
anticipacion;elevación
miedo;elevación
alegria;elevación
positivo;elevación
confianza;elevación
enfado;duende
desagrado;duende
miedo;duende
positivo;elegible
enfado;eliminación
desagrado;eliminación
miedo;eliminación
negativo;eliminación
tristeza;eliminación
anticipacion;élite
alegria;élite
positivo;élite
confianza;élite
positivo;elocuencia
positivo;elocuente
positivo;dilucidar
confianza;dilucidar
negativo;elusivo
sorpresa;elusivo
miedo;demacrado
negativo;demacrado
tristeza;demacrado
anticipacion;emancipación
alegria;emancipación
positivo;emancipación
negativo;embargo
negativo;avergonzar
tristeza;avergonzar
negativo;embarazoso
miedo;vergüenza
negativo;vergüenza
tristeza;vergüenza
sorpresa;vergüenza
negativo;malversación
miedo;embolia
negativo;embolia
tristeza;embolia
anticipacion;abrazo
alegria;abrazo
positivo;abrazo
sorpresa;abrazo
confianza;abrazo
negativo;embrollado
miedo;emergencia
negativo;emergencia
tristeza;emergencia
sorpresa;emergencia
positivo;emeritus
positivo;eminencia
confianza;eminencia
positivo;eminente
positivo;eminentemente
positivo;emir
positivo;empatía
confianza;enfatizar
confianza;emplear
positivo;autorizar
tristeza;vacío
positivo;emular
positivo;habilitar
confianza;habilitar
positivo;habilitación
confianza;habilitación
anticipacion;encantar
alegria;encantar
positivo;encantar
sorpresa;encantar
alegria;encantado
positivo;encantado
confianza;encantado
anticipacion;encantador
alegria;encantador
positivo;encantador
negativo;enclave
positivo;bis
alegria;alentar
positivo;alentar
confianza;alentar
positivo;ánimo
miedo;invasión
negativo;invasión
enfado;gravamen
miedo;gravamen
negativo;gravamen
tristeza;gravamen
positivo;enciclopedia
confianza;enciclopedia
anticipacion;poner en peligro
miedo;poner en peligro
negativo;poner en peligro
miedo;en peligro de extinción
negativo;en peligro de extinción
anticipacion;esfuerzo
positivo;esfuerzo
desagrado;endémico
miedo;endémico
negativo;endémico
tristeza;endémico
enfado;sin fin
miedo;sin fin
alegria;sin fin
negativo;sin fin
positivo;sin fin
tristeza;sin fin
confianza;sin fin
miedo;endocarditis
tristeza;endocarditis
positivo;dotar
confianza;dotar
positivo;dotado
positivo;dotación
confianza;dotación
positivo;resistencia
positivo;soportar
desagrado;enema
enfado;enemigo
desagrado;enemigo
miedo;enemigo
negativo;enemigo
positivo;energético
enfado;hacer cumplir
miedo;hacer cumplir
negativo;hacer cumplir
positivo;hacer cumplir
negativo;aplicación
anticipacion;comprometido
alegria;comprometido
positivo;comprometido
confianza;comprometido
alegria;atractivo
positivo;atractivo
confianza;atractivo
anticipacion;sumergir
positivo;mejorar
miedo;enigmático
negativo;enigmático
anticipacion;disfrutar
alegria;disfrutar
positivo;disfrutar
confianza;disfrutar
anticipacion;disfrutando
alegria;disfrutando
positivo;disfrutando
confianza;disfrutando
alegria;iluminar
positivo;iluminar
confianza;iluminar
alegria;iluminación
positivo;iluminación
confianza;iluminación
alegria;animar
positivo;animar
sorpresa;animar
confianza;animar
enfado;enemistad
miedo;enemistad
negativo;enemistad
tristeza;enemistad
positivo;enriquecer
anticipacion;inscribirse
confianza;inscribirse
positivo;conjunto
confianza;conjunto
positivo;bandera
negativo;esclavizar
enfado;esclavizado
desagrado;esclavizado
miedo;esclavizado
negativo;esclavizado
tristeza;esclavizado
negativo;esclavitud
enfado;enredado
desagrado;enredado
miedo;enredado
negativo;enredado
tristeza;enredado
negativo;entrelazamiento
positivo;emprendedor
alegria;entretener
positivo;entretener
alegria;entretenido
positivo;entretenido
anticipacion;entretenido
alegria;entretenido
positivo;entretenido
anticipacion;entretenimiento
alegria;entretenimiento
positivo;entretenimiento
sorpresa;entretenimiento
confianza;entretenimiento
anticipacion;entusiasmo
alegria;entusiasmo
positivo;entusiasmo
sorpresa;entusiasmo
anticipacion;entusiasta
alegria;entusiasta
positivo;entusiasta
sorpresa;entusiasta
desagrado;entrañas
negativo;entrañas
confianza;confiar
negativo;envidioso
positivo;reinar
positivo;efemérides
positivo;épico
enfado;epidemia
anticipacion;epidemia
desagrado;epidemia
miedo;epidemia
negativo;epidemia
tristeza;epidemia
sorpresa;epidemia
negativo;epilepsia
confianza;episcopal
tristeza;epitafio
positivo;epítome
alegria;igualdad
positivo;igualdad
confianza;igualdad
positivo;Igualmente
positivo;equilibrio
positivo;capital
enfado;erradicar
negativo;erradicar
enfado;erradicación
desagrado;erradicación
miedo;erradicación
negativo;erradicación
miedo;borrar
negativo;borrar
negativo;erosión
anticipacion;erótico
alegria;erótico
negativo;erótico
positivo;erótico
sorpresa;erótico
confianza;erótico
negativo;errar
anticipacion;recado
positivo;recado
confianza;recado
negativo;andante
negativo;errático
sorpresa;errático
negativo;errata
negativo;erróneo
negativo;error
tristeza;error
positivo;erudito
enfado;estallar
negativo;estallar
sorpresa;estallar
enfado;erupción
miedo;erupción
negativo;erupción
sorpresa;erupción
enfado;escalar
negativo;escalar
anticipacion;escapar
miedo;escapar
negativo;escapar
positivo;escapar
miedo;escapado
enfado;evitar
negativo;evitar
tristeza;evitar
confianza;escolta
negativo;espionaje
positivo;espíritu
positivo;esencial
confianza;establecer
alegria;establecido
positivo;establecido
alegria;estima
positivo;estima
tristeza;estima
confianza;estima
positivo;estético
negativo;distanciado
miedo;etéreo
positivo;ético
positivo;ética
miedo;eutanasia
negativo;eutanasia
tristeza;eutanasia
miedo;evacuar
negativo;evacuar
negativo;evacuación
enfado;evadir
desagrado;evadir
miedo;evadir
negativo;evadir
tristeza;evanescencia
sorpresa;evanescencia
miedo;evasión
negativo;evasión
tristeza;evasión
anticipacion;eventual
anticipacion;eventualidad
miedo;eventualidad
alegria;hojas perennes
positivo;hojas perennes
confianza;hojas perennes
positivo;eterno
negativo;desalojar
tristeza;desalojar
enfado;desalojo
desagrado;desalojo
miedo;desalojo
negativo;desalojo
tristeza;desalojo
positivo;evidente
confianza;evidente
enfado;mal
desagrado;mal
miedo;mal
negativo;mal
tristeza;mal
positivo;evolución
negativo;exacerbar
enfado;exacerbación
miedo;exacerbación
negativo;exacerbación
negativo;exigente
enfado;exagerar
negativo;exagerar
negativo;exagerado
anticipacion;exaltar
alegria;exaltar
positivo;exaltar
confianza;exaltar
alegria;exaltación
positivo;exaltación
confianza;exaltación
alegria;exaltado
positivo;exaltado
confianza;exaltado
miedo;examen
negativo;examen
sorpresa;examen
enfado;exasperación
desagrado;exasperación
negativo;exasperación
anticipacion;excavación
negativo;excavación
sorpresa;excavación
anticipacion;exceder
alegria;exceder
positivo;exceder
anticipacion;sobresalir
alegria;sobresalir
positivo;sobresalir
sorpresa;sobresalir
confianza;sobresalir
desagrado;excelencia
alegria;excelencia
positivo;excelencia
confianza;excelencia
alegria;excelente
positivo;excelente
confianza;excelente
negativo;exceso
positivo;intercambiar
confianza;intercambiar
negativo;extirpar
positivo;excitable
enfado;excitación
anticipacion;excitación
miedo;excitación
alegria;excitación
positivo;excitación
sorpresa;excitación
enfado;excitar
anticipacion;excitar
miedo;excitar
alegria;excitar
positivo;excitar
sorpresa;excitar
anticipacion;emocionado
alegria;emocionado
positivo;emocionado
sorpresa;emocionado
confianza;emocionado
anticipacion;emoción
alegria;emoción
positivo;emoción
sorpresa;emoción
anticipacion;emocionante
alegria;emocionante
positivo;emocionante
sorpresa;emocionante
sorpresa;exclamar
desagrado;excluido
negativo;excluido
tristeza;excluido
negativo;Excluyendo
tristeza;Excluyendo
desagrado;exclusión
miedo;exclusión
negativo;exclusión
tristeza;exclusión
desagrado;excremento
negativo;excremento
desagrado;excreción
miedo;agudísimo
negativo;agudísimo
negativo;excusa
enfado;ejecución
miedo;ejecución
negativo;ejecución
tristeza;ejecución
confianza;ejecución
enfado;verdugo
miedo;verdugo
negativo;verdugo
tristeza;verdugo
confianza;ejecutor
positivo;ejemplar
positivo;exención
negativo;cansada
negativo;agotado
tristeza;agotado
anticipacion;agotamiento
negativo;agotamiento
tristeza;agotamiento
confianza;exhaustivo
alegria;regocijo
positivo;regocijo
sorpresa;regocijo
positivo;exhortar
positivo;exhortación
anticipacion;exigente
desagrado;exigente
miedo;exigente
negativo;exigente
sorpresa;exigente
enfado;exilio
miedo;exilio
negativo;exilio
tristeza;exilio
positivo;existencia
miedo;exorcismo
negativo;exorcismo
tristeza;exorcismo
positivo;exótico
negativo;expatriado
anticipacion;esperar
positivo;esperar
sorpresa;esperar
confianza;esperar
anticipacion;expectativa
anticipacion;expectante
anticipacion;expectativa
positivo;expectativa
anticipacion;esperado
anticipacion;esperando
alegria;conveniente
positivo;conveniente
confianza;conveniente
anticipacion;expedición
positivo;expedición
enfado;expulsar
desagrado;expulsar
miedo;expulsar
negativo;expulsar
tristeza;expulsar
negativo;gasto
negativo;gastos
positivo;experimentado
confianza;experimentado
anticipacion;experimentar
sorpresa;experimentar
positivo;experto
confianza;experto
positivo;pericia
confianza;pericia
negativo;expirar
tristeza;expirar
negativo;Caducado
positivo;explique
confianza;explique
enfado;expletivo
negativo;expletivo
enfado;explotar
miedo;explotar
negativo;explotar
tristeza;explotar
sorpresa;explotar
anticipacion;explorar
miedo;explosión
negativo;explosión
sorpresa;explosión
enfado;explosivo
anticipacion;explosivo
miedo;explosivo
negativo;explosivo
sorpresa;explosivo
anticipacion;exponer
miedo;exponer
negativo;expuesto
negativo;expropiación
enfado;expulsión
desagrado;expulsión
miedo;expulsión
negativo;expulsión
tristeza;expulsión
alegria;Exquisito
positivo;Exquisito
positivo;exquisitamente
positivo;ampliar
positivo;extenso
miedo;exterminar
negativo;exterminar
tristeza;exterminar
enfado;exterminio
miedo;exterminio
negativo;exterminio
negativo;extinto
tristeza;extinto
enfado;extinguir
negativo;extinguir
positivo;extra
miedo;extrajudicial
negativo;extrajudicial
positivo;extraordinario
negativo;extremidad
anticipacion;librar
positivo;librar
alegria;exuberancia
positivo;exuberancia
confianza;testigo ocular
negativo;fabricar
negativo;fabricación
confianza;fabricación
positivo;facilitar
confianza;hecho
positivo;hechos
confianza;hechos
positivo;facultad
confianza;facultad
negativo;desvanecerse
desagrado;excrementos
negativo;excrementos
enfado;defecto
anticipacion;defecto
miedo;defecto
negativo;defecto
tristeza;defecto
desagrado;fracaso
miedo;fracaso
negativo;fracaso
tristeza;fracaso
anticipacion;fain
alegria;fain
positivo;fain
confianza;fain
miedo;desmayo
negativo;desmayo
tristeza;desmayo
sorpresa;desmayo
positivo;justa
positivo;bastante
confianza;bastante
anticipacion;fe
alegria;fe
positivo;fe
confianza;fe
positivo;fiel
confianza;fiel
negativo;desleal
tristeza;desleal
negativo;falso
negativo;otoño
tristeza;otoño
enfado;erróneo
negativo;erróneo
negativo;falacia
negativo;falible
negativo;que cae
tristeza;que cae
negativo;barbecho
enfado;falsedad
negativo;falsedad
confianza;falsedad
negativo;falsamente
enfado;falsificación
negativo;falsificación
desagrado;falsificar
negativo;falsificar
desagrado;falsedad
negativo;falsedad
miedo;desfallecer
negativo;desfallecer
positivo;fama
positivo;familiar
confianza;familiar
anticipacion;familiaridad
alegria;familiaridad
positivo;familiaridad
confianza;familiaridad
negativo;hambruna
tristeza;hambruna
positivo;famoso
positivo;famosamente
negativo;fanático
miedo;fanatismo
anticipacion;lujoso
alegria;lujoso
positivo;lujoso
anticipacion;trompeteo
alegria;trompeteo
positivo;trompeteo
sorpresa;trompeteo
miedo;colmillo
miedo;colmillos
negativo;farsa
desagrado;absurdo
negativo;absurdo
anticipacion;granja
positivo;fascinante
positivo;fascinación
positivo;de moda
negativo;rápido
tristeza;rápido
desagrado;grasa
negativo;grasa
tristeza;grasa
enfado;fatal
miedo;fatal
negativo;fatal
tristeza;fatal
miedo;fatalidad
negativo;fatalidad
tristeza;fatalidad
anticipacion;destino
negativo;destino
confianza;padre
negativo;fatiga
negativo;fatigado
tristeza;fatigado
desagrado;graso
negativo;graso
tristeza;graso
negativo;culpa
tristeza;culpa
positivo;impecable
confianza;impecable
negativo;defectuoso
anticipacion;favorable
alegria;favorable
positivo;favorable
sorpresa;favorable
confianza;favorable
alegria;favorito
